"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","626","Update Contact","firefox","Sat Nov 23 11:05:12 GMT 2024","passed","Sat Nov 23 11:05:12 GMT 2024","API challenge","api-tests.test.js","",""
"","358","Log In User","firefox","Sat Nov 23 11:05:05 GMT 2024","passed","Sat Nov 23 11:05:06 GMT 2024","API challenge","api-tests.test.js","",""
"","2495","Check correct login","firefox","Sat Nov 23 11:05:22 GMT 2024","passed","Sat Nov 23 11:05:25 GMT 2024","Test with login user","ui-tests.spec.js","",""
"","596","Get Contact List","firefox","Sat Nov 23 11:05:11 GMT 2024","passed","Sat Nov 23 11:05:12 GMT 2024","API challenge","api-tests.test.js","",""
"","464","Get User Profile","firefox","Sat Nov 23 11:05:09 GMT 2024","passed","Sat Nov 23 11:05:09 GMT 2024","API challenge","api-tests.test.js","",""
"","464","Delete User","firefox","Sat Nov 23 11:05:09 GMT 2024","passed","Sat Nov 23 11:05:10 GMT 2024","API challenge","api-tests.test.js","",""
"","4374","Add user","firefox","Sat Nov 23 11:05:01 GMT 2024","passed","Sat Nov 23 11:05:05 GMT 2024","API challenge","api-tests.test.js","",""
"","849","Check incorrect log in","firefox","Sat Nov 23 11:05:12 GMT 2024","passed","Sat Nov 23 11:05:13 GMT 2024","Test without login user","ui-tests.spec.js","",""
"","1254","Log Out User","firefox","Sat Nov 23 11:05:07 GMT 2024","passed","Sat Nov 23 11:05:08 GMT 2024","API challenge","api-tests.test.js","",""
"","533","Get Contact","firefox","Sat Nov 23 11:05:11 GMT 2024","passed","Sat Nov 23 11:05:11 GMT 2024","API challenge","api-tests.test.js","",""
"","2394","Check contact list, after not add contact","firefox","Sat Nov 23 11:05:25 GMT 2024","passed","Sat Nov 23 11:05:27 GMT 2024","Test with login user","ui-tests.spec.js","",""
"","477","Add Contact","firefox","Sat Nov 23 11:05:10 GMT 2024","passed","Sat Nov 23 11:05:10 GMT 2024","API challenge","api-tests.test.js","",""
"","2088","Click logOut","firefox","Sat Nov 23 11:05:15 GMT 2024","passed","Sat Nov 23 11:05:17 GMT 2024","Test with login user","ui-tests.spec.js","",""
"","2698","Check сontact validation failed","firefox","Sat Nov 23 11:05:17 GMT 2024","passed","Sat Nov 23 11:05:20 GMT 2024","Test with login user","ui-tests.spec.js","",""
"","1737","Go to api documentation","firefox","Sat Nov 23 11:05:13 GMT 2024","passed","Sat Nov 23 11:05:15 GMT 2024","Test without login user","ui-tests.spec.js","",""
"","2537","Make new user with used email","firefox","Sat Nov 23 11:05:28 GMT 2024","passed","Sat Nov 23 11:05:30 GMT 2024","Test with login user","ui-tests.spec.js","",""
"","534","Delete Contact","firefox","Sat Nov 23 11:05:10 GMT 2024","passed","Sat Nov 23 11:05:11 GMT 2024","API challenge","api-tests.test.js","",""
"","2688","Create new contact","firefox","Sat Nov 23 11:05:20 GMT 2024","passed","Sat Nov 23 11:05:22 GMT 2024","Test with login user","ui-tests.spec.js","",""
